platform,category,subcategory,clicked_label,name,brand,base_product_id,group_id,merchant_type,mrp,price,weight,shelf_life_in_hours,eta,availability,inventory,store_id,image_url,product_url,scraped_at,pincode_input
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Cleaning Wipes,Unknown,781c706c-c16e-48f2-b01a-9923cfac8025,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/cleaning-wipes/pvid/781c706c-c16e-48f2-b01a-9923cfac8025,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Kitchen Cleaning Spray,Unknown,e1ce0bf7-ec81-4146-9052-56679ab5882a,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/kitchen-cleaning-spray/pvid/e1ce0bf7-ec81-4146-9052-56679ab5882a,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Mop,Unknown,9a4bdf88-0ad5-4678-8651-db52aba098a3,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/mop/pvid/9a4bdf88-0ad5-4678-8651-db52aba098a3,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Broom,Unknown,ad84a287-a52b-4d3b-bb5f-a78fc330eb79,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/broom/pvid/ad84a287-a52b-4d3b-bb5f-a78fc330eb79,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Rice,Unknown,3baaf8d0-e429-4b09-95bf-d6fc49a01360,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/rice/pvid/3baaf8d0-e429-4b09-95bf-d6fc49a01360,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Poha,Unknown,fbd05007-b7ad-4981-ae7d-54117fb5e2c9,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/poha/pvid/fbd05007-b7ad-4981-ae7d-54117fb5e2c9,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Hair Mask,Unknown,05caec9e-8d81-4e05-a9c1-d42b722c5da6,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/hair-mask/pvid/05caec9e-8d81-4e05-a9c1-d42b722c5da6,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Hair Oil,Unknown,48cd84eb-c04b-4651-b795-c1a65ac1175d,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/hair-oil/pvid/48cd84eb-c04b-4651-b795-c1a65ac1175d,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Bundle,Unknown,67c346a5-c19d-46d6-84e0-420b4ccdb9a9,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/bundle/pvid/67c346a5-c19d-46d6-84e0-420b4ccdb9a9,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Hair Spray,Unknown,047339a6-d92c-46f5-946d-07f27b813f9f,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/hair-spray/pvid/047339a6-d92c-46f5-946d-07f27b813f9f,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Hair Serum,Unknown,7a65876e-507e-4a56-b523-332520d20990,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/hair-serum/pvid/7a65876e-507e-4a56-b523-332520d20990,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Hair Growth Serum,Unknown,11287c43-9d18-4108-bd9f-e83e707597d4,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/hair-growth-serum/pvid/11287c43-9d18-4108-bd9f-e83e707597d4,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Hair Wax,Unknown,e3564aae-cb6c-43b6-90ad-f848b29cc9ce,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/hair-wax/pvid/e3564aae-cb6c-43b6-90ad-f848b29cc9ce,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Masoor,Unknown,c31217fb-1fc9-426c-b24d-1159691a2a3e,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/masoor/pvid/c31217fb-1fc9-426c-b24d-1159691a2a3e,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Urad,Unknown,ed72fce4-3c5a-4a5e-a709-f7b6324ab1cc,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/urad/pvid/ed72fce4-3c5a-4a5e-a709-f7b6324ab1cc,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Moong,Unknown,e142e6a6-c991-49ea-8316-91d2420924c4,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/moong/pvid/e142e6a6-c991-49ea-8316-91d2420924c4,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Roasted Chana,Unknown,75458057-5c03-4230-80d6-3e5e4ea39ebb,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/roasted-chana/pvid/75458057-5c03-4230-80d6-3e5e4ea39ebb,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Toor Dal,Unknown,2175b235-bf35-4cd1-b71c-cb2296daf35a,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/toor-dal/pvid/2175b235-bf35-4cd1-b71c-cb2296daf35a,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Chana Dal,Unknown,8258364e-e653-45f5-a376-d6a73d85486c,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/chana-dal/pvid/8258364e-e653-45f5-a376-d6a73d85486c,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Peanut,Unknown,789aee72-f07a-4897-a38b-ca7a35b79eee,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/peanut/pvid/789aee72-f07a-4897-a38b-ca7a35b79eee,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Rajma,Unknown,62cfafe2-6a86-4d23-8f0a-b42178d43086,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/rajma/pvid/62cfafe2-6a86-4d23-8f0a-b42178d43086,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Horse Gram,Unknown,277c4dbc-5acd-46c4-be2d-3347778e6693,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/horse-gram/pvid/277c4dbc-5acd-46c4-be2d-3347778e6693,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Chana,Unknown,0d793e5b-6df1-4114-aaf9-13e6406e925c,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/chana/pvid/0d793e5b-6df1-4114-aaf9-13e6406e925c,2026-01-18 15:25:45,560001
zepto,Fruits Vegetables,All,Fruits Vegetables > All,Sanitizers,Unknown,c391024f-27b7-4a3c-8f5b-7092f9dd9c2d,,,0.0,0.0,N/A,,N/A,In Stock,,,N/A,https://www.zepto.com/pn/sanitizers/pvid/c391024f-27b7-4a3c-8f5b-7092f9dd9c2d,2026-01-18 15:25:45,560001
