,id,product_id,name,price,mrp,availability,inventory,category,subcategory,brand,store_id,scraped_at,pincode_input,url
0,1,101,Whole Wheat Brown Bread,45,50,In Stock,20,Bread,Brown Bread,Modern,S1,2026-01-18T12:00:00+00:00,560001,http://example.com
1,2,102,Farm Fresh White Eggs (6 pcs),55,60,In Stock,50,Eggs,White Eggs,Eggoz,S1,2026-01-18T12:00:00+00:00,560001,http://example.com
2,3,103,Amul Pasteurized Butter,56,58,Out of Stock,0,Butter,Salted Butter,Amul,S1,2026-01-18T12:00:00+00:00,560001,http://example.com
3,4,37083,Nandini Toned Milk,24,24,In Stock,12,Milk,N/A,Nandini,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nandini-toned-milk/prid/37083
4,5,681082,Nandini Toned Milk,46,46,In Stock,40,Milk,N/A,Nandini,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nandini-toned-milk/prid/681082
5,6,309921,Nandini Shubham Pasteurised Standardized Fresh Milk,27,27,In Stock,12,Milk,N/A,Nandini,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nandini-shubham-pasteurised-standardized-fresh-milk/prid/309921
6,7,681066,Nandini Shubham Pasteurised Standardized Fresh Milk,52,52,In Stock,11,Milk,N/A,Nandini,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nandini-shubham-pasteurised-standardized-fresh-milk/prid/681066
7,8,127081,Heritage Daily Health Toned Milk,26,26,In Stock,12,Milk,N/A,Heritage,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/heritage-daily-health-toned-milk/prid/127081
8,9,26923,Nandini Goodlife Toned Milk,68,68,In Stock,50,Milk,N/A,Nandini Goodlife,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nandini-goodlife-toned-milk/prid/26923
9,10,309894,Nandini Goodlife Toned Milk,35,35,In Stock,50,Milk,N/A,Nandini Goodlife,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nandini-goodlife-toned-milk/prid/309894
10,11,734812,Heritage Nourish+ Fresh Milk,29,32,In Stock,5,Milk,N/A,Heritage,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/heritage-nourish+-fresh-milk/prid/734812
11,12,478884,Akshayakalpa Organic Amrutha Organic Farm Fresh A2 Milk,53,53,In Stock,12,Milk,N/A,Akshayakalpa Organic,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/akshayakalpa-organic-amrutha-organic-farm-fresh-a2-milk/prid/478884
12,13,206314,Amul Lactose Free Milk,24,25,In Stock,50,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-lactose-free-milk/prid/206314
13,14,179137,Heritage Special Long Life Milk (90 Days Shelf Life),31,33,In Stock,43,Milk,N/A,Heritage,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/heritage-special-long-life-milk-(90-days-shelf-life)/prid/179137
14,15,478885,Akshayakalpa Organic Cow Milk (Pasteurized),42,42,In Stock,1,Milk,N/A,Akshayakalpa Organic,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/akshayakalpa-organic-cow-milk-(pasteurized)/prid/478885
15,16,113945,Amul Taaza Toned Milk,16,16,In Stock,50,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-taaza-toned-milk/prid/113945
16,17,485113,Amul Taaza Toned Milk - Pack of 2,32,33,In Stock,50,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-taaza-toned-milk---pack-of-2/prid/485113
17,18,179,Amul Gold Milk,80,80,In Stock,48,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-gold-milk/prid/179
18,19,3471,Yakult Probiotic Drink,90,90,In Stock,13,Milk,N/A,Yakult,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/yakult-probiotic-drink/prid/3471
19,20,115774,Nandini Slim Skimmed Milk,71,71,In Stock,20,Milk,N/A,Nandini,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nandini-slim-skimmed-milk/prid/115774
20,21,518553,Sids Farm Buffalo A2 Milk,59,60,In Stock,1,Milk,N/A,Sids Farm,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/sids-farm-buffalo-a2-milk/prid/518553
21,22,382243,Yakult Light Probiotic Drink,100,100,In Stock,7,Milk,N/A,Yakult,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/yakult-light-probiotic-drink/prid/382243
22,23,74690,Nestle a+ Slim Skimmed Milk,87,97,In Stock,25,Milk,N/A,Nestle a+,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/nestle-a+-slim-skimmed-milk/prid/74690
23,24,572383,Akshayakalpa Organic Cow Milk,126,126,In Stock,15,Milk,N/A,Akshayakalpa Organic,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/akshayakalpa-organic-cow-milk/prid/572383
24,25,560720,Yakult Light Mango Probiotic Fermented Milk Drink,100,100,In Stock,5,Milk,N/A,Yakult,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/yakult-light-mango-probiotic-fermented-milk-drink/prid/560720
25,26,207766,Mother Dairy FIT Life Homogenized Double Toned Milk (450 ml),32,32,In Stock,3,Milk,N/A,Mother Dairy,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/mother-dairy-fit-life-homogenized-double-toned-milk-(450-ml)/prid/207766
26,27,32685,Mother Dairy Toned Milk,75,75,In Stock,1,Milk,N/A,Mother Dairy,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/mother-dairy-toned-milk/prid/32685
27,28,572385,Akshayakalpa Organic Slim Milk,136,136,In Stock,3,Milk,N/A,Akshayakalpa Organic,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/akshayakalpa-organic-slim-milk/prid/572385
28,29,516948,Milky Mist Toned Milk,77,77,In Stock,1,Milk,N/A,Milky Mist,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/milky-mist-toned-milk/prid/516948
29,30,516949,Milky Mist Double Toned Milk,72,72,In Stock,5,Milk,N/A,Milky Mist,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/milky-mist-double-toned-milk/prid/516949
30,31,516951,Milky Mist UHT Sterilized Lactose Free Toned Milk,29,29,In Stock,23,Milk,N/A,Milky Mist,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/milky-mist-uht-sterilized-lactose-free-toned-milk/prid/516951
31,32,542051,Akshayakalpa Organic Cow A2 Milk (Pasteurized),45,45,In Stock,1,Milk,N/A,Akshayakalpa Organic,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/akshayakalpa-organic-cow-a2-milk-(pasteurized)/prid/542051
32,33,478882,Akshayakalpa Organic Farm Fresh Milk,47,47,In Stock,1,Milk,N/A,Akshayakalpa Organic,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/akshayakalpa-organic-farm-fresh-milk/prid/478882
33,34,547189,Amul Calci+ Milk,24,25,In Stock,7,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-calci+-milk/prid/547189
34,35,547190,Amul Calci+ Milk,95,95,In Stock,1,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-calci+-milk/prid/547190
35,36,547184,Amul Cow Milk,76,76,In Stock,3,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-cow-milk/prid/547184
36,37,641570,Amul Gold Premium Full Cream Milk,71,90,In Stock,6,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-gold-premium-full-cream-milk/prid/641570
37,38,34778,Amul Moti Toned Milk (90 Days Shelf Life),27,29,In Stock,44,Milk,N/A,Amul,33966,2026-01-18T14:26:48+00:00,560001,https://blinkit.com/prn/amul-moti-toned-milk-(90-days-shelf-life)/prid/34778
